record_id,submitted_at,status,region,proc_hours_total,assigned_office
SR-000739,2024-03-01T20:07:00,resolved,South Verdalia,13.1,Office-Capital-01
SR-000666,2024-03-18T19:27:00,closed,South Verdalia,18.5,Office-Capital-01
SR-000696,2024-03-18T21:18:00,submitted,North Verdalia,18.7,Office-South-02
SR-000623,2024-03-20T19:22:00,submitted,North Verdalia,4.0,Office-East-03
SR-000664,2024-03-05T02:24:00,resolved,Eastport,28.7,Office-North-01
SR-000647,2024-03-10T05:28:00,in_review,Western Highlands,9.7,Office-South-02
SR-000698,2024-03-17T10:56:00,closed,Western Highlands,29.8,Office-West-04
SR-000612,2024-03-19T02:52:00,in_review,Eastport,30.4,Office-East-03
SR-000603,2024-03-18T03:17:00,resolved,South Verdalia,38.9,Office-East-03
SR-000683,2024-03-08T11:05:00,resolved,Western Highlands,49.1,Office-Capital-01
SR-000625,2024-03-03T09:17:00,submitted,North Verdalia,15.1,Office-West-04
SR-000703,2024-03-24T20:11:00,resolved,Eastport,6.1,Office-Capital-01
SR-000697,2024-03-23T00:40:00,closed,Eastport,9.4,Office-North-01
SR-000675,2024-03-05T11:19:00,in_review,,8.6,Office-Capital-01
SR-000716,2024-03-15T14:51:00,resolved,North Verdalia,1.5,Office-Capital-01
SR-000763,2024-03-02T11:29:00,resolved,Eastport,4.4,Office-West-04
SR-000758,2024-03-09T23:13:00,in_review,North Verdalia,15.3,Office-North-01
SR-000771,2024-03-13T23:41:00,closed,Western Highlands,11.6,Office-West-04
SR-000686,2024-03-09T09:37:00,rejected,Western Highlands,2.4,Office-South-02
SR-000710,2024-03-08T20:02:00,closed,South Verdalia,19.6,Office-East-03
SR-000733,2024-03-23T23:28:00,resolved,,21.0,Office-East-03
SR-000765,2024-03-23T21:34:00,resolved,South Verdalia,16.1,Office-Capital-01
SR-000681,2024-03-01T05:12:00,resolved,Capital District,34.0,Office-North-01
SR-000794,2024-03-08T02:34:00,submitted,Capital District,3.3,Office-West-04
SR-000718,2024-03-13T18:28:00,closed,Western Highlands,46.8,Office-South-02
SR-000785,2024-03-17T15:30:00,resolved,South Verdalia,48.7,Office-West-04
SR-000799,2024-03-03T14:23:00,closed,Capital District,7.0,Office-North-01
SR-000762,2024-03-17T02:46:00,in_review,South Verdalia,29.4,Office-West-04
SR-000700,2024-03-20T05:13:00,submitted,South Verdalia,33.9,Office-West-04
SR-000689,2024-03-22T00:47:00,closed,,16.7,Office-East-03
SR-000622,2024-03-16T03:12:00,resolved,Western Highlands,22.2,Office-South-02
SR-000705,2024-03-20T19:01:00,resolved,North Verdalia,36.0,Office-South-02
SR-000661,2024-03-08T07:59:00,closed,South Verdalia,15.9,Office-West-04
