record_id,submitted_at,status,region,processing_hours,assigned_office
SR-000361,2024-01-15T09:00:00,closed,South Verdalia,6.8,Office-East-03
SR-000656,2024-04-18T05:24:00,closed,Eastport,22.4,Office-Capital-01
SR-000670,2024-04-13T02:02:00,closed,Eastport,14.6,Office-Capital-01
SR-000657,2024-04-09T20:36:00,resolved,Eastport,33.8,Office-Capital-01
SR-000626,2024-04-20T03:16:00,in_review,Western Highlands,8.7,Office-Capital-01
SR-000631,2024-04-05T10:50:00,closed,Capital District,33.3,Office-West-04
SR-000685,2024-04-07T22:16:00,closed,Western Highlands,3.9,Office-North-01
SR-000773,2024-04-06T20:49:00,resolved,North Verdalia,18.7,Office-North-01
SR-000732,2024-04-10T06:11:00,closed,Eastport,25.1,Office-West-04
SR-000302,2024-01-15T09:00:00,closed,North Verdalia,22.0,Office-West-04
SR-000816,2024-04-11T17:07:00,in_review,Capital District,15.3,Office-South-02
SR-000710,2024-04-04T14:28:00,closed,North Verdalia,86.8,Office-West-04
SR-000688,2024-04-04T05:54:00,in_review,Western Highlands,19.6,Office-South-02
SR-000790,2024-04-09T21:37:00,resolved,Western Highlands,17.4,Office-South-02
SR-000604,2024-04-02T07:20:00,submitted,North Verdalia,6.8,Office-North-01
SR-000712,2024-04-17T10:06:00,in_review,Western Highlands,5.4,Office-East-03
SR-000749,2024-04-14T21:19:00,in_review,Capital District,56.9,Office-Capital-01
SR-000623,2024-04-15T09:17:00,resolved,Eastport,12.8,Office-Capital-01
SR-000804,2024-04-17T14:44:00,submitted,North Verdalia,7.4,Office-East-03
SR-000733,2024-04-03T09:29:00,in_review,North Verdalia,12.2,Office-East-03
SR-000825,2024-04-04T00:02:00,in_review,Capital District,25.3,Office-East-03
SR-000680,2024-04-14T23:15:00,rejected,Capital District,12.2,Office-North-01
SR-000715,2024-04-07T19:42:00,in_review,North Verdalia,33.5,Office-South-02
SR-000635,2024-04-24T04:33:00,resolved,North Verdalia,40.0,Office-North-01
SR-000693,2024-04-20T15:30:00,in_review,Western Highlands,11.4,Office-Capital-01
SR-000695,2024-04-08T23:05:00,closed,Capital District,13.0,Office-North-01
SR-000730,2024-04-25T15:37:00,submitted,South Verdalia,18.1,Office-North-01
SR-000835,2024-04-20T08:17:00,closed,North Verdalia,33.9,Office-South-02
SR-000673,2024-04-04T00:23:00,closed,North Verdalia,21.2,Office-South-02
SR-000740,2024-04-19T21:45:00,closed,Western Highlands,13.0,Office-East-03
SR-000697,2024-04-13T13:25:00,resolved,South Verdalia,30.4,Office-Capital-01
SR-000780,2024-04-16T06:59:00,closed,Eastport,28.9,Office-Capital-01
SR-000605,2024-04-14T12:22:00,resolved,North Verdalia,3.4,Office-West-04
SR-000842,2024-04-12T16:20:00,in_review,South Verdalia,30.1,Office-East-03
SR-000770,2024-04-10T11:30:00,in_review,Eastport,6.1,Office-North-01
SR-000752,2024-04-06T02:52:00,closed,Eastport,50.3,Office-West-04
SR-000614,2024-04-16T15:45:00,closed,South Verdalia,18.1,Office-East-03
SR-000786,2024-04-24T11:04:00,closed,Western Highlands,11.3,Office-West-04
SR-000627,2024-04-20T23:56:00,in_review,Capital District,38.5,Office-Capital-01
SR-000843,2024-04-14T20:14:00,in_review,Eastport,16.0,Office-Capital-01
SR-000751,2024-04-12T19:53:00,submitted,North Verdalia,18.0,Office-South-02
SR-000679,2024-04-20T18:07:00,closed,Western Highlands,39.6,Office-West-04
SR-000742,2024-04-07T14:40:00,resolved,Western Highlands,44.9,Office-Capital-01
SR-000784,2024-04-01T08:29:00,closed,Eastport,7.5,Office-Capital-01
SR-000714,2024-04-16T12:44:00,resolved,North Verdalia,25.4,Office-South-02
SR-000624,2024-04-13T09:23:00,in_review,South Verdalia,24.0,Office-East-03
SR-000849,2024-04-03T08:27:00,closed,Eastport,32.9,Office-East-03
SR-000783,2024-04-01T05:19:00,in_review,Eastport,8.4,Office-West-04
SR-000766,2024-04-12T11:06:00,closed,Capital District,14.1,Office-West-04
SR-000643,2024-04-09T13:08:00,in_review,Western Highlands,7.4,Office-South-02
SR-000803,2024-04-01T18:05:00,in_review,Eastport,14.2,Office-North-01
SR-000681,2024-04-10T09:12:00,in_review,Capital District,15.8,Office-South-02
SR-000759,2024-04-17T16:53:00,in_review,Western Highlands,32.7,Office-Capital-01
SR-000683,2024-04-04T15:06:00,submitted,South Verdalia,8.2,Office-East-03
SR-000663,2024-04-18T13:46:00,in_review,South Verdalia,12.9,Office-Capital-01
SR-000794,2024-04-14T01:54:00,submitted,North Verdalia,16.7,Office-West-04
SR-000802,2024-04-19T04:02:00,submitted,Eastport,16.8,Office-South-02
SR-000829,2024-04-25T22:31:00,resolved,North Verdalia,13.9,Office-East-03
SR-000806,2024-04-13T00:39:00,submitted,South Verdalia,15.0,Office-Capital-01
